"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"04-Dec-2020","EQ","206.00","212.30","205.50","204.50","206.75","206.85","209.06","307.00","114.00",23908626,"4,998,301,395.45",111746
"03-Dec-2020","EQ","199.60","207.00","198.80","197.75","204.45","204.50","204.82","307.00","114.00",26333709,"5,393,632,828.35",135153
"02-Dec-2020","EQ","195.60","200.00","193.85","195.65","196.95","197.75","197.11","307.00","114.00",17412260,"3,432,214,151.15",78081
"01-Dec-2020","EQ","195.00","198.25","190.00","192.75","195.90","195.65","194.92","307.00","114.00",22924405,"4,468,457,812.20",101232
"27-Nov-2020","EQ","190.80","201.00","190.05","189.75","191.30","192.75","196.19","354.90","114.00",46930628,"9,207,521,737.90",207884
"26-Nov-2020","EQ","190.00","190.95","187.10","188.40","190.00","189.75","188.96","354.90","114.00",11611301,"2,194,075,426.20",78442
"25-Nov-2020","EQ","189.85","193.50","187.00","188.30","187.85","188.40","190.45","354.90","114.00",19366032,"3,688,256,625.95",103144
"24-Nov-2020","EQ","189.00","190.90","187.50","187.20","188.25","188.30","188.87","354.90","114.00",10723549,"2,025,317,545.55",58930
"23-Nov-2020","EQ","187.00","188.00","183.75","185.50","187.50","187.20","185.83","354.90","114.00",10409948,"1,934,493,882.80",62523
"20-Nov-2020","EQ","187.80","188.90","183.25","186.35","185.60","185.50","185.80","364.00","114.00",15110555,"2,807,534,376.80",83248
"19-Nov-2020","EQ","190.00","191.95","185.30","190.50","186.00","186.35","188.90","364.00","114.00",18335986,"3,463,757,283.30",89962
"18-Nov-2020","EQ","188.40","192.20","186.05","189.55","190.00","190.50","189.24","364.00","114.00",16731478,"3,166,320,301.70",89591
"17-Nov-2020","EQ","194.90","195.20","187.95","193.10","189.95","189.55","190.31","364.00","114.00",16962442,"3,228,119,254.15",98625
"14-Nov-2020","EQ","194.90","194.90","191.50","192.65","192.65","193.10","193.61","364.00","114.00",1626286,"314,870,142.70",13923
"13-Nov-2020","EQ","198.50","198.85","190.70","198.45","192.45","192.65","192.81","364.00","114.00",17321552,"3,339,835,611.90",103272
"12-Nov-2020","EQ","196.00","200.00","194.65","195.30","198.50","198.45","197.40","364.00","114.00",11185597,"2,208,040,302.30",58359
"11-Nov-2020","EQ","196.10","200.00","193.25","193.10","196.00","195.30","196.61","364.00","114.00",19537936,"3,841,287,922.00",98169
"10-Nov-2020","EQ","192.00","196.00","188.00","191.65","192.75","193.10","193.14","364.00","114.00",16211541,"3,131,056,922.55",91136
"09-Nov-2020","EQ","194.10","196.55","190.15","193.10","191.80","191.65","193.23","364.00","114.00",12015414,"2,321,693,138.15",64742
"06-Nov-2020","EQ","191.35","195.00","190.60","190.50","192.25","193.10","192.81","364.00","114.00",16331375,"3,148,846,894.15",89117